customer_id,customer_name,mobile,frequency
"""IlPSDkG""","""tom.IlPSDkG""","""+886423196850""","""18"""
"""doxvpYU""","""Jessica.doxvpYU""","""+886106354289""","""16"""
"""dG6PFO9""","""Jessica.dG6PFO9""","""+886457236890""","""16"""
"""bAhKsyg""","""Jessica.bAhKsyg""","""+886837192045""","""3"""
"""eGIyDHX""","""Nate.eGIyDHX""","""+886978540263""","""14"""
"""INDUeKp""","""Christina.INDUeKp""","""+886401892736""","""2"""
"""ekY0xRw""","""Nate.ekY0xRw""","""+886860247159""","""19"""
"""OODs7b5""","""hank.OODs7b5""","""+886129045367""","""7"""
"""GvlKXdG""","""hank.GvlKXdG""","""+886680293714""","""16"""
"""uAxVcd9""","""Alba.uAxVcd9""","""+886935142780""","""14"""
"""GlNYEhw""","""Christina.GlNYEhw""","""+886620358714""","""8"""
"""WRmaxqk""","""hank.WRmaxqk""","""+886018976234""","""12"""
"""MSdQnjF""","""Cindy.MSdQnjF""","""+886652901743""","""12"""
"""BlazHFh""","""Nate.BlazHFh""","""+886542167830""","""2"""
"""Jrk08GC""","""Jessica.Jrk08GC""","""+886685072139""","""12"""
"""zLvQzHY""","""Cindy.zLvQzHY""","""+886052396841""","""10"""
"""SI92HQ3""","""May.SI92HQ3""","""+886826951047""","""15"""
"""eO5Gzlm""","""Christina.eO5Gzlm""","""+886295078346""","""2"""
"""aVSAuZ8""","""Jessica.aVSAuZ8""","""+886502683719""","""9"""
"""Yu3dlTP""","""Alba.Yu3dlTP""","""+886654280793""","""12"""
"""Dn5tNYf""","""hank.Dn5tNYf""","""+886301957264""","""5"""
"""ZR0Vz1o""","""Christina.ZR0Vz1o""","""+886219480356""","""5"""
"""tQBKXJO""","""Cindy.tQBKXJO""","""+886452798013""","""10"""
"""XqP9xs0""","""tom.XqP9xs0""","""+886560872431""","""19"""
"""AtV38dv""","""hank.AtV38dv""","""+886740691583""","""3"""
"""d94mR1a""","""Cindy.d94mR1a""","""+886369421058""","""14"""
"""IhB8E7y""","""Alba.IhB8E7y""","""+886105762438""","""19"""
"""tl46Lko""","""May.tl46Lko""","""+886809651237""","""5"""
"""kcU3OJo""","""Cindy.kcU3OJo""","""+886840372195""","""17"""
"""ueRDV9L""","""peter.ueRDV9L""","""+886438721605""","""15"""
"""X4e1TpA""","""Jessica.X4e1TpA""","""+886025716439""","""10"""
"""w4Tg6rz""","""tom.w4Tg6rz""","""+886159420637""","""3"""
"""Wk6og3X""","""Cindy.Wk6og3X""","""+886541893072""","""6"""
"""imJQTZi""","""Jessica.imJQTZi""","""+886496780213""","""18"""
"""sVtWUAS""","""tom.sVtWUAS""","""+886034162958""","""10"""
"""eEbvyDi""","""Jonothan.eEbvyDi""","""+886519086347""","""15"""
"""HVBGxKI""","""Cindy.HVBGxKI""","""+886270418395""","""13"""
"""TMbFjky""","""Jessica.TMbFjky""","""+886158096472""","""9"""
"""PKnUF6A""","""hank.PKnUF6A""","""+886980147265""","""12"""
"""Z5hDPfm""","""Jonothan.Z5hDPfm""","""+886981736024""","""4"""
"""xRaxdXS""","""Alba.xRaxdXS""","""+886875623091""","""3"""
"""ve0mrj5""","""Nate.ve0mrj5""","""+886843761905""","""15"""
"""eyaXD7z""","""May.eyaXD7z""","""+886601759823""","""8"""
"""zX8Wnba""","""hank.zX8Wnba""","""+886183726490""","""0"""
"""QjShGpi""","""Christina.QjShGpi""","""+886780549136""","""14"""
"""HBYDQsA""","""Jonothan.HBYDQsA""","""+886941368570""","""11"""
"""U4iouOA""","""Cindy.U4iouOA""","""+886062179458""","""6"""
"""KaKzEgn""","""May.KaKzEgn""","""+886023697418""","""16"""
"""TUNXax0""","""peter.TUNXax0""","""+886547312098""","""9"""
"""GZjI5sE""","""Jessica.GZjI5sE""","""+886496738052""","""15"""
"""N9dw7UE""","""Jonothan.N9dw7UE""","""+886087396512""","""17"""
"""hkBFVNn""","""Jessica.hkBFVNn""","""+886685203749""","""13"""
"""JCT81QZ""","""Alba.JCT81QZ""","""+886689271345""","""0"""
"""QGmXoDc""","""Nate.QGmXoDc""","""+886148675203""","""7"""
"""pWC8PZU""","""Christina.pWC8PZU""","""+886124703958""","""4"""
"""dLd59sc""","""Alba.dLd59sc""","""+886294067518""","""17"""
"""cXAnlu8""","""peter.cXAnlu8""","""+886603851724""","""3"""
"""x1iF6LR""","""tom.x1iF6LR""","""+886236547089""","""18"""
"""p7Bt519""","""Alba.p7Bt519""","""+886187264953""","""5"""
"""Ou0KxvS""","""tom.Ou0KxvS""","""+886704592316""","""10"""
"""FWRKXhA""","""Alba.FWRKXhA""","""+886057269184""","""4"""
"""Bbxf9et""","""Nate.Bbxf9et""","""+886853049127""","""0"""
"""wBjOp4V""","""Jonothan.wBjOp4V""","""+886321908567""","""12"""
"""dCv6Ib3""","""Jessica.dCv6Ib3""","""+886649718205""","""1"""
"""L8TYWs0""","""Alba.L8TYWs0""","""+886389051762""","""16"""
"""lr72peT""","""Nate.lr72peT""","""+886924680375""","""2"""
"""YQIBSzZ""","""Christina.YQIBSzZ""","""+886734051826""","""4"""
"""NRjXmyN""","""Jonothan.NRjXmyN""","""+886540392168""","""19"""
"""OJbA0T1""","""Jessica.OJbA0T1""","""+886185497326""","""12"""
"""urNMO5F""","""May.urNMO5F""","""+886853196024""","""1"""
"""dS849tX""","""Jonothan.dS849tX""","""+886632708549""","""6"""
"""CONH0uG""","""Nate.CONH0uG""","""+886569780132""","""5"""
"""saP8z4H""","""peter.saP8z4H""","""+886497082163""","""7"""
"""H127U8z""","""tom.H127U8z""","""+886173542609""","""17"""
"""xxsZ5Bp""","""tom.xxsZ5Bp""","""+886417923605""","""4"""
"""hODtE8y""","""tom.hODtE8y""","""+886984215036""","""11"""
"""WKZFYpt""","""Jonothan.WKZFYpt""","""+886954230718""","""13"""
"""pxYaVHT""","""hank.pxYaVHT""","""+886529310867""","""18"""
"""ZS8Iz3h""","""Christina.ZS8Iz3h""","""+886682314059""","""18"""
"""SVcyq81""","""Nate.SVcyq81""","""+886346175082""","""19"""
"""bTBKEtL""","""Christina.bTBKEtL""","""+886061795324""","""0"""
"""VVTgycZ""","""Nate.VVTgycZ""","""+886680791254""","""18"""
"""JX4s9VD""","""Jonothan.JX4s9VD""","""+886597263801""","""1"""
"""kGZpLaW""","""Jessica.kGZpLaW""","""+886968573012""","""15"""
"""nlBRgzJ""","""Christina.nlBRgzJ""","""+886628147539""","""8"""
"""E2TsvnB""","""Christina.E2TsvnB""","""+886412365798""","""7"""
"""NLhdzBW""","""Christina.NLhdzBW""","""+886286031574""","""9"""
"""oAy5SPt""","""May.oAy5SPt""","""+886830975412""","""16"""
"""pWsCOn6""","""May.pWsCOn6""","""+886435269018""","""5"""
"""y3xq2al""","""Jessica.y3xq2al""","""+886250347691""","""6"""
"""IDMc65C""","""May.IDMc65C""","""+886783051269""","""5"""
"""VMsEyia""","""tom.VMsEyia""","""+886941356782""","""4"""
"""aY9EGg0""","""Jonothan.aY9EGg0""","""+886640371289""","""10"""
"""A1XQEzu""","""May.A1XQEzu""","""+886863071249""","""14"""
"""vR58an6""","""peter.vR58an6""","""+886961824073""","""12"""
"""Tax7tLF""","""hank.Tax7tLF""","""+886095213486""","""2"""
"""wbgJ7ip""","""Christina.wbgJ7ip""","""+886614857290""","""2"""
"""v8oIUMi""","""Nate.v8oIUMi""","""+886720945386""","""5"""
"""k30WJ4n""","""peter.k30WJ4n""","""+886562389470""","""2"""
"""ITpzabV""","""Cindy.ITpzabV""","""+886708369124""","""4"""
"""ijtu3dC""","""Jessica.ijtu3dC""","""+886391826457""","""4"""
"""SUYa7SM""","""Jonothan.SUYa7SM""","""+886265384719""","""3"""
"""FS83VQ5""","""peter.FS83VQ5""","""+886361540897""","""3"""
"""ItVEdTq""","""peter.ItVEdTq""","""+886576283194""","""5"""
"""m8ZOVuS""","""Jessica.m8ZOVuS""","""+886804975162""","""10"""
"""FjLbv7Q""","""Christina.FjLbv7Q""","""+886823641975""","""17"""
"""BTRYokK""","""Jonothan.BTRYokK""","""+886406732851""","""18"""
"""XF4Roh1""","""Jessica.XF4Roh1""","""+886937812504""","""13"""
"""Z8d10JI""","""Jessica.Z8d10JI""","""+886694280315""","""10"""
"""vBULROw""","""Cindy.vBULROw""","""+886540871629""","""17"""
"""tUeyxFL""","""Cindy.tUeyxFL""","""+886594032678""","""7"""
"""ccBZg5T""","""peter.ccBZg5T""","""+886735628901""","""13"""
"""bWneDxw""","""Jonothan.bWneDxw""","""+886681350924""","""14"""
"""o43ypon""","""Cindy.o43ypon""","""+886816745032""","""9"""
"""j4t8muV""","""peter.j4t8muV""","""+886369801745""","""12"""
"""VSJCHZv""","""tom.VSJCHZv""","""+886145629783""","""6"""
"""OUgacGz""","""Christina.OUgacGz""","""+886548263910""","""13"""
"""tVtRXp4""","""Jessica.tVtRXp4""","""+886901328574""","""7"""
"""BlFPsny""","""Jessica.BlFPsny""","""+886167348250""","""16"""
"""r5kWelv""","""hank.r5kWelv""","""+886716804523""","""4"""
"""j4wT9YI""","""Christina.j4wT9YI""","""+886615472380""","""1"""
"""Zk8ycYM""","""Alba.Zk8ycYM""","""+886048721936""","""8"""
"""ZJdQLr6""","""Christina.ZJdQLr6""","""+886415632098""","""4"""
"""HuRcwty""","""peter.HuRcwty""","""+886491063785""","""18"""
"""pAQyhd1""","""Alba.pAQyhd1""","""+886789025361""","""15"""
"""jlw4H1y""","""Alba.jlw4H1y""","""+886342761509""","""5"""
"""OUfv0ZQ""","""Nate.OUfv0ZQ""","""+886563710842""","""18"""
"""IMX8wfA""","""Nate.IMX8wfA""","""+886536190782""","""19"""
"""VWGnwFp""","""Christina.VWGnwFp""","""+886539267418""","""4"""
"""jn1tlfa""","""Christina.jn1tlfa""","""+886749306852""","""18"""
"""IGFtLwR""","""peter.IGFtLwR""","""+886963150472""","""10"""
"""jyXIxqk""","""peter.jyXIxqk""","""+886053478261""","""6"""
"""BG43TX7""","""Cindy.BG43TX7""","""+886179035648""","""12"""
"""jqQrv6Y""","""Alba.jqQrv6Y""","""+886076493125""","""19"""
"""bA9inwR""","""Cindy.bA9inwR""","""+886936128047""","""14"""
"""RGd57qe""","""May.RGd57qe""","""+886892654710""","""7"""
"""GRUO1pa""","""tom.GRUO1pa""","""+886872914056""","""1"""
"""dBP2kgv""","""hank.dBP2kgv""","""+886610823549""","""13"""
"""U5gWpJF""","""tom.U5gWpJF""","""+886613750492""","""18"""
"""cdRz7Wv""","""hank.cdRz7Wv""","""+886104879265""","""11"""
"""MXv9C3Z""","""hank.MXv9C3Z""","""+886306572489""","""14"""
"""ftaqm3P""","""tom.ftaqm3P""","""+886780451263""","""7"""
"""Z2PDbLs""","""Jonothan.Z2PDbLs""","""+886731598204""","""1"""
"""KBdC8kZ""","""hank.KBdC8kZ""","""+886356249078""","""17"""
"""F7wOTkp""","""Christina.F7wOTkp""","""+886157684092""","""2"""
"""lhAP2ae""","""Jessica.lhAP2ae""","""+886970638514""","""2"""
"""xIDTsjX""","""Jonothan.xIDTsjX""","""+886910236758""","""11"""
"""BIOFi63""","""hank.BIOFi63""","""+886859126470""","""11"""
"""XqYLjZ2""","""tom.XqYLjZ2""","""+886783610429""","""9"""
"""JOxFWhS""","""Alba.JOxFWhS""","""+886214578096""","""19"""
"""Ltm0WEw""","""Nate.Ltm0WEw""","""+886218347659""","""5"""
"""LOQPea1""","""Jonothan.LOQPea1""","""+886095372614""","""17"""
"""DqgdM5b""","""Alba.DqgdM5b""","""+886173862405""","""13"""
"""BzyiFNj""","""Alba.BzyiFNj""","""+886263801547""","""5"""
"""Kqi5DAe""","""Jonothan.Kqi5DAe""","""+886058961723""","""14"""
"""N3nuCU6""","""Jessica.N3nuCU6""","""+886654213079""","""5"""
"""FQOtB2x""","""tom.FQOtB2x""","""+886264830179""","""12"""
"""wqRCwmk""","""Jessica.wqRCwmk""","""+886134879025""","""14"""
"""Q4ubQvG""","""Christina.Q4ubQvG""","""+886537102489""","""9"""
"""A2yDSZL""","""Christina.A2yDSZL""","""+886136489025""","""11"""
"""rUhRIsg""","""hank.rUhRIsg""","""+886793482015""","""0"""
"""uXCfSHE""","""Nate.uXCfSHE""","""+886359478120""","""1"""
"""Tz2yiW6""","""Alba.Tz2yiW6""","""+886763259148""","""4"""
"""C7ndpKS""","""Christina.C7ndpKS""","""+886573842906""","""8"""
"""uVtgqP5""","""hank.uVtgqP5""","""+886856417302""","""17"""
"""UNsLiSa""","""Jonothan.UNsLiSa""","""+886597468130""","""13"""
"""SkzwaEM""","""Alba.SkzwaEM""","""+886560437198""","""16"""
"""ikg5hza""","""Alba.ikg5hza""","""+886934152068""","""18"""
"""cmC8Ufg""","""Jessica.cmC8Ufg""","""+886852491376""","""4"""
"""Hj3bdXg""","""tom.Hj3bdXg""","""+886428169305""","""8"""
"""WjXmt75""","""Christina.WjXmt75""","""+886649012857""","""8"""
"""sDdjqCi""","""May.sDdjqCi""","""+886912307584""","""17"""
"""kCokav8""","""Christina.kCokav8""","""+886249568301""","""11"""
"""H1d9Zp4""","""tom.H1d9Zp4""","""+886608451732""","""18"""
"""COkKwdC""","""May.COkKwdC""","""+886094738615""","""17"""
"""CMmCBD0""","""Cindy.CMmCBD0""","""+886128396475""","""5"""
"""gfT5w8Z""","""Jonothan.gfT5w8Z""","""+886064198253""","""0"""
"""ZFPhq79""","""Jessica.ZFPhq79""","""+886023196587""","""9"""
"""HlRzFIc""","""Jessica.HlRzFIc""","""+886079481253""","""4"""
"""eSBa4PL""","""Cindy.eSBa4PL""","""+886584136209""","""0"""
"""JLAy4r9""","""Jonothan.JLAy4r9""","""+886730812659""","""4"""
"""mTdaIz0""","""May.mTdaIz0""","""+886540378621""","""5"""
"""lOr8eu2""","""Cindy.lOr8eu2""","""+886236745908""","""13"""
"""cLV12Ta""","""May.cLV12Ta""","""+886675983201""","""17"""
"""HGBP6Av""","""Cindy.HGBP6Av""","""+886608275341""","""1"""
"""pZLyzCm""","""Jonothan.pZLyzCm""","""+886215370869""","""12"""
"""hWIP7hM""","""May.hWIP7hM""","""+886629057183""","""18"""
"""vYl64Zp""","""Alba.vYl64Zp""","""+886408593276""","""11"""
"""VspyPOT""","""Nate.VspyPOT""","""+886963048527""","""17"""
"""a0ALOVF""","""Cindy.a0ALOVF""","""+886357490618""","""2"""
"""zWdaDpe""","""Jessica.zWdaDpe""","""+886142760589""","""7"""
"""g2wsA9N""","""Cindy.g2wsA9N""","""+886395127406""","""2"""
"""ZGzTcI3""","""May.ZGzTcI3""","""+886375091284""","""19"""
"""TKnkix4""","""Jonothan.TKnkix4""","""+886036172948""","""0"""
"""v2CQplD""","""May.v2CQplD""","""+886890425671""","""10"""
"""tPe5L3g""","""May.tPe5L3g""","""+886679541382""","""2"""
"""qxGWhFH""","""Jonothan.qxGWhFH""","""+886249610358""","""6"""
"""KXE52qT""","""Alba.KXE52qT""","""+886431852067""","""14"""
"""VEvhORZ""","""hank.VEvhORZ""","""+886450893167""","""4"""
"""kPMES7i""","""tom.kPMES7i""","""+886568172439""","""5"""
"""Q8LEiTU""","""Jessica.Q8LEiTU""","""+886876903452""","""14"""
"""rbCpW1f""","""Alba.rbCpW1f""","""+886465972310""","""8"""
"""x9WkoRC""","""May.x9WkoRC""","""+886957348106""","""11"""
"""ursNQjP""","""Jessica.ursNQjP""","""+886873209164""","""9"""
"""cSgsW6e""","""Nate.cSgsW6e""","""+886850976312""","""4"""
"""tlen0ry""","""hank.tlen0ry""","""+886718250694""","""12"""
"""Sw2zUj5""","""tom.Sw2zUj5""","""+886683401527""","""12"""
"""bSTaMbs""","""Alba.bSTaMbs""","""+886061493527""","""15"""
"""e8xK26J""","""May.e8xK26J""","""+886671849035""","""17"""
"""GPuLdUm""","""Jessica.GPuLdUm""","""+886506841792""","""0"""
"""myjhgIV""","""Cindy.myjhgIV""","""+886218396570""","""6"""
"""xPqrQsh""","""tom.xPqrQsh""","""+886194570268""","""3"""
"""H2xSDyz""","""Alba.H2xSDyz""","""+886856479023""","""8"""
"""MPeBfAN""","""hank.MPeBfAN""","""+886872105369""","""7"""
"""ZSO04jk""","""hank.ZSO04jk""","""+886715304296""","""17"""
"""pRhmH8y""","""Cindy.pRhmH8y""","""+886352981746""","""19"""
"""zAUCLmi""","""Nate.zAUCLmi""","""+886045231678""","""12"""
"""uRGK2Uw""","""peter.uRGK2Uw""","""+886219460758""","""16"""
"""Nijo9OE""","""Cindy.Nijo9OE""","""+886340897516""","""6"""
"""xe7LRIw""","""Christina.xe7LRIw""","""+886024938716""","""1"""
"""AEp2Fto""","""Cindy.AEp2Fto""","""+886351827094""","""7"""
"""Sc4jH2f""","""Cindy.Sc4jH2f""","""+886524938167""","""8"""
"""H7XUq8d""","""Christina.H7XUq8d""","""+886631029584""","""11"""
"""d7KPSHJ""","""hank.d7KPSHJ""","""+886852094136""","""15"""
"""snNEMOH""","""hank.snNEMOH""","""+886971286430""","""12"""
"""PkJ7US8""","""tom.PkJ7US8""","""+886572093864""","""12"""
"""xn2kapi""","""Jessica.xn2kapi""","""+886412538790""","""3"""
"""IbrCQzF""","""Christina.IbrCQzF""","""+886152763408""","""0"""
"""PcJ9hEO""","""peter.PcJ9hEO""","""+886451698027""","""16"""
"""NaRoKcM""","""Jessica.NaRoKcM""","""+886386127495""","""11"""
"""GQy8Wmn""","""Jonothan.GQy8Wmn""","""+886043671582""","""6"""
"""vunoSNs""","""Alba.vunoSNs""","""+886138594620""","""0"""
"""C7rRqls""","""tom.C7rRqls""","""+886326170945""","""15"""
"""WlDomOZ""","""Jonothan.WlDomOZ""","""+886352798640""","""19"""
"""BbhtDcE""","""Cindy.BbhtDcE""","""+886548037916""","""8"""
"""Yw4Ki0j""","""hank.Yw4Ki0j""","""+886593876012""","""3"""
"""ytLfNzD""","""Cindy.ytLfNzD""","""+886341859627""","""8"""
"""tzECJrv""","""Jonothan.tzECJrv""","""+886684102375""","""5"""
"""AeOgJ5I""","""Jonothan.AeOgJ5I""","""+886175296483""","""9"""
"""K95ijK3""","""hank.K95ijK3""","""+886497301652""","""10"""
"""oie0Fql""","""Nate.oie0Fql""","""+886206453197""","""17"""
"""V4u2N0j""","""tom.V4u2N0j""","""+886827903156""","""9"""
"""jNRZedC""","""Christina.jNRZedC""","""+886832170496""","""18"""
"""v3dj548""","""Alba.v3dj548""","""+886326405791""","""9"""
"""LQePYZU""","""Nate.LQePYZU""","""+886143897065""","""17"""
"""g6GPURv""","""Jonothan.g6GPURv""","""+886027356198""","""12"""
"""Kfmzsjd""","""Cindy.Kfmzsjd""","""+886247186593""","""9"""
"""XJQbyoU""","""Cindy.XJQbyoU""","""+886743195628""","""12"""
"""jpdK35s""","""peter.jpdK35s""","""+886713256849""","""4"""
"""hQ4BdqV""","""peter.hQ4BdqV""","""+886934821057""","""5"""
"""RAgN35X""","""Christina.RAgN35X""","""+886093824175""","""5"""
"""mUBb0zQ""","""Cindy.mUBb0zQ""","""+886548710936""","""6"""
"""xDXzSxr""","""peter.xDXzSxr""","""+886579180342""","""11"""
"""f4Dcy75""","""Jonothan.f4Dcy75""","""+886046187235""","""16"""
"""fKxTqhI""","""Cindy.fKxTqhI""","""+886795360124""","""15"""
"""PHThM7V""","""hank.PHThM7V""","""+886915806427""","""18"""
"""Rgs2pBH""","""hank.Rgs2pBH""","""+886459817203""","""18"""
"""GWMHxRl""","""Nate.GWMHxRl""","""+886985214603""","""9"""
"""wD54FnJ""","""Christina.wD54FnJ""","""+886176230845""","""16"""
"""Qa7knIj""","""Jonothan.Qa7knIj""","""+886725049863""","""9"""
"""XsxDNgL""","""May.XsxDNgL""","""+886260573498""","""0"""
"""NpxPzve""","""Christina.NpxPzve""","""+886389627150""","""15"""
"""kOFEiDB""","""hank.kOFEiDB""","""+886536189420""","""4"""
"""Up0JCA9""","""peter.Up0JCA9""","""+886724985601""","""1"""
"""ppRPFj9""","""Alba.ppRPFj9""","""+886458130729""","""3"""
"""RemQGLI""","""hank.RemQGLI""","""+886598610734""","""10"""
"""PtYMFpQ""","""Alba.PtYMFpQ""","""+886781436250""","""18"""
"""PRVYPtg""","""Jonothan.PRVYPtg""","""+886917630845""","""8"""
"""nKjUAcG""","""Alba.nKjUAcG""","""+886270385614""","""8"""
"""JQydfIL""","""tom.JQydfIL""","""+886256934170""","""14"""
"""VnKM2Cz""","""Jessica.VnKM2Cz""","""+886159630842""","""5"""
"""YZYervG""","""tom.YZYervG""","""+886687419035""","""11"""
"""fQFGWDX""","""tom.fQFGWDX""","""+886725831604""","""15"""
"""L8Xe9VS""","""Jonothan.L8Xe9VS""","""+886783695241""","""19"""
"""tvDjNog""","""Nate.tvDjNog""","""+886493216708""","""10"""
"""vASxMQG""","""May.vASxMQG""","""+886730682154""","""1"""
"""ntHdygG""","""tom.ntHdygG""","""+886672310894""","""6"""
"""n2C8Pep""","""May.n2C8Pep""","""+886439761802""","""18"""
"""UykP9He""","""Christina.UykP9He""","""+886943126875""","""5"""
"""ECX9q0G""","""Nate.ECX9q0G""","""+886920731856""","""4"""
"""ducbGQH""","""Alba.ducbGQH""","""+886428150637""","""0"""
"""C5XDwn0""","""hank.C5XDwn0""","""+886198052743""","""2"""
"""B7eK6gR""","""Nate.B7eK6gR""","""+886317628905""","""12"""
"""mWj0TkN""","""Christina.mWj0TkN""","""+886842901563""","""10"""
"""dJdE5yi""","""tom.dJdE5yi""","""+886829670153""","""1"""
"""Iz3m1k7""","""Nate.Iz3m1k7""","""+886049138762""","""2"""
"""xVqOv3N""","""May.xVqOv3N""","""+886756482139""","""16"""
"""yQyuF0A""","""Cindy.yQyuF0A""","""+886526140783""","""16"""
"""cxliOZw""","""hank.cxliOZw""","""+886142765390""","""3"""
"""g7YVsWR""","""Nate.g7YVsWR""","""+886648951273""","""7"""
"""E6Ud1DO""","""May.E6Ud1DO""","""+886846192075""","""0"""
"""abuYD4g""","""Jonothan.abuYD4g""","""+886023754691""","""19"""
"""atUDLqC""","""Alba.atUDLqC""","""+886691824705""","""13"""
"""HEpsgFG""","""Jessica.HEpsgFG""","""+886548176923""","""10"""
"""cUq95pW""","""May.cUq95pW""","""+886189654203""","""0"""
"""H4dvklc""","""hank.H4dvklc""","""+886703195864""","""9"""
"""IdemvBH""","""Nate.IdemvBH""","""+886641825937""","""1"""
"""djEgP4N""","""Nate.djEgP4N""","""+886829146753""","""11"""
"""gs1CY8e""","""Alba.gs1CY8e""","""+886530176248""","""16"""
"""JghqH2t""","""tom.JghqH2t""","""+886576480192""","""18"""
"""PKu7ldJ""","""Jessica.PKu7ldJ""","""+886152473098""","""18"""
"""I1B39gq""","""tom.I1B39gq""","""+886015674983""","""2"""
"""ftYVHAS""","""hank.ftYVHAS""","""+886590183746""","""17"""
"""kVxHIYu""","""hank.kVxHIYu""","""+886328579041""","""3"""
"""RfhNj0y""","""peter.RfhNj0y""","""+886930768421""","""19"""
"""phOetrc""","""Jonothan.phOetrc""","""+886419032657""","""3"""
"""wQ09Eid""","""May.wQ09Eid""","""+886984310652""","""14"""
"""JrUdjfF""","""Nate.JrUdjfF""","""+886026754918""","""6"""
"""ZjHPe6M""","""Nate.ZjHPe6M""","""+886084695123""","""3"""
"""pIauHdB""","""Jonothan.pIauHdB""","""+886296705483""","""4"""
"""GtNZGPc""","""Christina.GtNZGPc""","""+886180372549""","""16"""
"""zewXFVu""","""tom.zewXFVu""","""+886061972485""","""5"""
"""N6HpFO0""","""Jonothan.N6HpFO0""","""+886015726934""","""16"""
"""ot5VH0q""","""Nate.ot5VH0q""","""+886401357862""","""12"""
"""pD7Zz4O""","""Nate.pD7Zz4O""","""+886581732964""","""19"""
"""mTnVojc""","""Jonothan.mTnVojc""","""+886129384075""","""0"""
"""l0vKQil""","""Jonothan.l0vKQil""","""+886748615902""","""8"""
"""Yjut2Ez""","""Christina.Yjut2Ez""","""+886349218650""","""19"""
"""Oy7Ypm6""","""Jonothan.Oy7Ypm6""","""+886872643519""","""10"""
"""zEeXhzB""","""Nate.zEeXhzB""","""+886804675319""","""1"""
"""bjHKdTy""","""May.bjHKdTy""","""+886761985243""","""15"""
"""GdB0nA5""","""Nate.GdB0nA5""","""+886463075812""","""5"""
"""I83J6ej""","""tom.I83J6ej""","""+886250917864""","""16"""
"""h4C9q6a""","""Christina.h4C9q6a""","""+886903467582""","""15"""
"""VJlozuw""","""Nate.VJlozuw""","""+886062438159""","""18"""
"""nhJXwRZ""","""Christina.nhJXwRZ""","""+886504879213""","""14"""
"""Cb9odk8""","""Jessica.Cb9odk8""","""+886839621057""","""10"""
"""zkITpFX""","""Christina.zkITpFX""","""+886308169475""","""7"""
"""W5a3Rdg""","""Alba.W5a3Rdg""","""+886543906827""","""15"""
"""dXOG4vd""","""Nate.dXOG4vd""","""+886480137256""","""18"""
"""u8jJtQ4""","""Nate.u8jJtQ4""","""+886986341705""","""2"""
"""D9oy7sc""","""peter.D9oy7sc""","""+886270865394""","""18"""
"""niMa1et""","""Alba.niMa1et""","""+886932807154""","""2"""
